number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	length_mm	PLATE	RawIntDen_norm_bckg	RawIntDen_normBackg_normLen	DAY
19	20240903_pnrt21_luc_10mM_N8_luc.tif:0374-0536	1075	1411.109	1516942	1123	1516942	133.955	seedling39	pNRT2.1:LUC	10mM	33.48875	plate4	400289.3557	11952.95004	7d
1	20240903_pnrt21_luc_10mM_N12_luc.tif:0378-0500	1065	1199.115	1277058	1087	1277058	132.154	seedling40	pNRT2.1:LUC	10mM	33.0385	plate4	170792.8222	5169.508972	7d
20	20240903_pnrt21_luc_10mM_N8_luc.tif:0419-0624	831	1038.511	863003	1037	863003	103.139	background		10mM	25.78475	plate4		0	7d
21	20240903_pnrt21_luc_10mM_N8_luc.tif:0460-0576	770	1039.17	800161	1039	800161	95.349	background		10mM	23.83725	plate4		0	7d
22	20240903_pnrt21_luc_10mM_N8_luc.tif:0454-0407	985	1038.558	1022980	1039	1022980	122.337	background		10mM	30.58425	plate4		0	7d
1	20240906_pNRT21_luc_1mM_N1_luc.tif:0112-0125	1282	1206.469	1546693	1081	1546693	159.413	seedling1	pNRT2.1:LUC	1mM	39.85325	plate1	222752.1031	5589.308352	10d
2	20240906_pNRT21_luc_1mM_N1_luc.tif:0097-0185	1049	1119.96	1174838	1060	1174838	130.171	seedling2	pNRT2.1:LUC	1mM	32.54275	plate1	91519.74658	2812.292956	10d
3	20240906_pNRT21_luc_1mM_N1_luc.tif:0107-0245	1167	1172.54	1368354	1078	1368354	145.498	seedling3	pNRT2.1:LUC	1mM	36.3745	plate1	163175.352	4485.981993	10d
4	20240906_pNRT21_luc_1mM_N1_luc.tif:0112-0295	1284	1190.769	1528948	1082	1528948	159.436	seedling4	pNRT2.1:LUC	1mM	39.859	plate1	202941.6727	5091.489316	10d
5	20240906_pNRT21_luc_1mM_N1_luc.tif:0089-0353	915	1257.059	1150209	1105	1150209	113.403	seedling5	pNRT2.1:LUC	1mM	28.35075	plate1	205274.5845	7240.534536	10d
6	20240906_pNRT21_luc_1mM_N1_luc.tif:0095-0415	1030	1094.464	1127298	1054	1127298	128.022	seedling6	pNRT2.1:LUC	1mM	32.0055	plate1	63601.33554	1987.200186	10d
7	20240906_pNRT21_luc_1mM_N1_luc.tif:0111-0464	1172	1140.224	1336342	1067	1336342	146.055	seedling7	pNRT2.1:LUC	1mM	36.51375	plate1	125999.776	3450.748717	10d
8	20240906_pNRT21_luc_1mM_N1_luc.tif:0129-0527	1510	1272.759	1921866	1098	1921866	188.215	seedling8	pNRT2.1:LUC	1mM	47.05375	plate1	362466.0356	7703.233761	10d
9	20240906_pNRT21_luc_1mM_N1_luc.tif:0114-0579	1232	1208.759	1489191	1071	1489191	153.255	seedling9	pNRT2.1:LUC	1mM	38.31375	plate1	216885.8635	5660.784013	10d
10	20240906_pNRT21_luc_1mM_N1_luc.tif:0124-0646	1321	1237.165	1634295	1075	1634295	164.337	seedling10	pNRT2.1:LUC	1mM	41.08425	plate1	270078.21	6573.765128	10d
